"Merchant ID",Merchant,Website,Currency,"Business Categories",MCC,"Risk Level","Sales Volume","Gross Revenue"
1,"AB Cl",https://www.click2sell.eu,USD,SaaS,,"very high",0.50,814.21
2,"AB Do",https://dokobit.com,EUR,"SaaS, Writing and blogging",,"very high",6184.64,34.70
4,"AB Kr",https://hostika.lt,EUR,SaaS,,"very high",337.24,26.48
8,"AB VS",https://vs-sport.lt,EUR,"Sports equipment",,"very high",459.77,10.61
12,"B Nam",https://e-duona.lt,EUR,"Food and drinks",,"very high",12.98,6.34
13,"AB Sp",https://superfanas.lt,EUR,"Clothing and shoes",,"very high",753.80,68.78
15,"AB MO",https://dianavapsve.lt,EUR,"Clothing and shoes",,"very high",3751.00,191.64
21,"AB Cf",https://cflow.lt,EUR,"Service subscriptions",,"very high",5595.67,417.00
35,"AB ""I",https://tablein.com,USD,"Marketing and advertising",,"very high",3133.60,168.46
35,"AB ""I",https://tablein.com,GBP,"Marketing and advertising",,"very high",2958.10,217.35
35,"AB ""I",https://tablein.com,EUR,"Marketing and advertising",,"very high",9925.09,187.21
37,"AB ST",https://clustspace.com,EUR,SaaS,,"very high",200.69,3.14
52,"AB La",https://tapetuparduotuve.lt,EUR,"Household supplies",,"very high",167.25,5.40
56,"AB Gė",https://gelesinternetu.eu,EUR,"Flowers and gifts",,"very high",404.60,45.68
69,"AB 9 ",https://gerilesiai.lt,EUR,"Beauty and fragrances",,"very high",7749.90,200.98
70,"AB 9 ",https://visaslecas.lv,EUR,"Beauty and fragrances",,"very high",3496.57,119.18
71," line",https://headlaatsed.ee,EUR,"Beauty and fragrances",,"very high",419.68,17.88
77,"AB A ",https://2ru2ra.com,EUR,"Clothing and shoes",,"very high",2158.00,73.78
96,"AB NO",https://store.eset.lt,EUR,"Software development",,"very high",2122.98,300.71
103,"AB Ba",https://medikos.lt,EUR,"Beauty and fragrances",,"very high",935.54,42.75
122,"B ""Nu",https://vizslatea.com,EUR,"Pet supplies",,"very high",8413.94,273.03
126,"omas ",https://alpha-1993.com,EUR,Accessories,,"very high",3621.17,66.63
132,"AB Sp",https://expedition.lt,EUR,"Sports equipment",,"very high",1985.71,67.53
136,"AB Od",https://e-galanterija.lt,EUR,Accessories,,"very high",3859.18,223.13
143,"V Dai",https://zuikiopastas.lt,EUR,"Writing and blogging",,"very high",968.00,61.48
149,"O Gel",https://gelbekitvaikus.lt,EUR,"Charities/nonprofit organizations",,"very high",965.00,39.22
163,"AB Ma",http://laistymoiranga.lt,EUR,"Gardening goods",,"very high",5.59,0.00
164,"AB ""A",https://lpg-shop.com,EUR,Electronics,,"very high",105.00,31.54
166,"AB SP",https://sportcup.lt,EUR,"Sports equipment",,"very high",35.30,2.29
168,"AB Ch",https://cherryservers.com,USD,"Web hosting",,"very high",30360.44,1062.95
168,"AB Ch",https://cherryservers.com,EUR,"Web hosting",,"very high",24350.39,773.87
179,"AB SA",https://intimamoda.lt,EUR,"Clothing and shoes",,"very high",107.94,0.00
181,"š? ""J",https://jaunimolinija.lt,EUR,"Charities/nonprofit organizations",,"very high",241.00,12.02
185,"AB Da",https://dalinuosi.lt,EUR,"Booking and reservations",,"very high",5667.18,62.41
187,"AB Kv",https://urbanfood.lt,EUR,"Food and drinks",,"very high",75.37,12.46
197,"AB Do",https://dokobit.com,EUR,"SaaS, Writing and blogging",,"very high",3837.07,43.41
203,"reek ",https://olivegarden.gr,GBP,"Beauty and fragrances",,"very high",497.23,0.00
203,"reek ",https://olivegarden.gr,EUR,"Beauty and fragrances",,"very high",5963.09,153.12
214,"AB Vy",https://vytishop.com,EUR,"Household supplies",,"very high",339.60,6.67
226,"AB Ju",https://buypenimaster.com,USD,"Adult products",,"very high",0.00,7.01
226,"AB Ju",https://buypenimaster.com,EUR,"Adult products",,"very high",548.50,29.79
245,"eva F",https://jevafashion.com,GBP,"Clothing and shoes",,"very high",0.00,18.15
262,".V So",https://silkokerai.lt,EUR,"Clothing and shoes",,"very high",324.00,8.47
269,risti,https://xlash.lt,EUR,"Beauty and fragrances",,"very high",59.90,0.50
270,"ARL V",https://evozen.fr,EUR,"Online courses and tutoring",,"very high",21173.69,746.33
294,"AB Pr",https://inglotkosmetika.lt,EUR,"Beauty and fragrances",,"very high",294.78,6.28
304,ondin,https://mondinion.com,EUR,"Booking and reservations, Marketing and advertising",,"very high",0.00,1.24
305,"AB ""K",https://lietuviskaatributika.lt,EUR,Accessories,,"very high",82.35,5.83
310,"AB B ",http://moerie.com,EUR,"Beauty and fragrances",,"very high",309.00,0.50
319,louni,https://vohippo.com,EUR,"Mobile pre-paid card credits",,"very high",5144.94,197.60
322,"AB FA",https://auksomeistrai.lt,EUR,Accessories,,"very high",565.50,75.12
324,"AB ""S",https://cattool.eu,EUR,SaaS,,"very high",1173.87,22.90
325,riori,https://priorityprospect.com,USD,"Software development",,"very high",8713.17,468.48
326,"VOS T",https://reparexshop.com,GBP,"Beauty and fragrances",,"very high",1375.42,15.00
