"Merchant ID",Merchant,Website,Currency,"Business Categories",MCC,"Risk Level","Sales Volume","Gross Revenue","Chargeback Ratio"
2,"AB Do",https://dokobit.com,EUR,"SaaS, Writing and blogging",,"very high",6184.64,34.70,0.00
4,"AB Kr",https://hostika.lt,EUR,SaaS,,"very high",337.24,26.48,0.00
8,"AB VS",https://vs-sport.lt,EUR,"Sports equipment",,"very high",317.37,10.61,0.00
12,"B Nam","https://e-duona.lt, https://velzelioduona.lt",EUR,"Food and drinks",,"very high",12.98,6.34,0.00
13,"AB Sp",https://superfanas.lt,EUR,"Clothing and shoes",,"very high",753.80,68.78,0.00
15,"AB MO",https://dianavapsve.lt,EUR,"Clothing and shoes",,"very high",3574.70,191.64,0.00
21,"AB Cf",https://cflow.lt,EUR,"Service subscriptions",,"very high",5500.76,417.00,0.00
35,"AB ""I",https://tablein.com,USD,"Marketing and advertising",,"very high",3031.50,168.46,0.00
35,"AB ""I",https://tablein.com,GBP,"Marketing and advertising",,"very high",2844.70,217.35,0.00
35,"AB ""I",https://tablein.com,EUR,"Marketing and advertising",,"very high",9628.28,187.21,0.00
37,"AB ST",https://clustspace.com,EUR,SaaS,,"very high",200.69,3.14,0.00
52,"AB La",https://tapetuparduotuve.lt,EUR,"Household supplies",,"very high",167.25,5.40,0.00
56,"AB Gė","https://gelesinternetu.eu, https://geliubutikelis.lt",EUR,"Flowers and gifts",,"very high",404.60,45.68,0.00
69,"AB 9 ",https://gerilesiai.lt,EUR,"Beauty and fragrances",,"very high",7457.57,200.98,0.00
70,"AB 9 ",https://visaslecas.lv,EUR,"Beauty and fragrances",,"very high",3445.89,119.18,0.00
71," line",https://headlaatsed.ee,EUR,"Beauty and fragrances",,"very high",419.68,17.88,0.00
77,"AB A ",https://2ru2ra.com,EUR,"Clothing and shoes",,"very high",1706.00,73.78,0.00
96,"AB NO",https://store.eset.lt,EUR,"Software development",,"very high",2085.65,300.71,0.00
103,"AB Ba",https://medikos.lt,EUR,"Beauty and fragrances",,"very high",935.54,42.75,0.00
122,"B ""Nu",https://vizslatea.com,EUR,"Pet supplies",,"very high",8124.24,273.03,0.00
126,"omas ","http://watch-alpha.eu, https://alpha-1993.com",EUR,Accessories,,"very high",3448.67,66.63,0.00
132,"AB Sp",https://expedition.lt,EUR,"Sports equipment",,"very high",1946.91,67.53,0.00
136,"AB Od",https://e-galanterija.lt,EUR,Accessories,,"very high",3682.49,223.13,0.00
143,"V Dai",https://zuikiopastas.lt,EUR,"Writing and blogging",,"very high",968.00,61.48,0.00
149,"O Gel","https://gelbekitvaikus.lt, https://parama-vaikams.w-i.lt, https://parama.gelbekitvaikus.lt",EUR,"Charities/nonprofit organizations",,"very high",855.00,39.22,0.00
163,"AB Ma",https://laistymoiranga.lt,EUR,"Gardening goods",,"very high",5.59,0.00,0.00
164,"AB ""A",https://lpg-shop.com,EUR,Electronics,,"very high",105.00,31.54,0.00
166,"AB SP",https://sportcup.lt,EUR,"Sports equipment",,"very high",35.30,2.29,0.00
168,"AB Ch","http://cherryservers.com, https://cherryservers.com",USD,"Web hosting",,"very high",30360.44,1062.95,0.00
168,"AB Ch","http://cherryservers.com, https://cherryservers.com",EUR,"Web hosting",,"very high",23983.99,773.87,0.79
179,"AB SA",https://intimamoda.lt,EUR,"Clothing and shoes",,"very high",107.94,0.00,0.00
181,"š? ""J",https://jaunimolinija.lt,EUR,"Charities/nonprofit organizations",,"very high",226.00,12.02,0.00
185,"AB Da",https://dalinuosi.lt,EUR,"Booking and reservations",,"very high",5509.63,62.41,0.00
187,"AB Kv",https://urbanfood.lt,EUR,"Food and drinks",,"very high",75.37,12.46,0.00
197,"AB Do",https://dokobit.com,EUR,"SaaS, Writing and blogging",,"very high",3794.43,43.41,0.00
203,"reek ","http://new.olivegarden.gr, https://olivegarden.gr",GBP,"Beauty and fragrances",,"very high",497.23,0.00,0.00
203,"reek ","http://new.olivegarden.gr, https://olivegarden.gr",EUR,"Beauty and fragrances",,"very high",5820.16,153.12,0.00
214,"AB Vy","http://vytishop.lt, https://vytishop.com",EUR,"Household supplies",,"very high",339.60,6.67,0.00
226,"AB Ju",https://buypenimaster.com,USD,"Adult products",,"very high",0.00,7.01,0.00
226,"AB Ju",https://buypenimaster.com,EUR,"Adult products",,"very high",548.50,29.79,0.00
245,"eva F",https://jevafashion.com,GBP,"Clothing and shoes",,"very high",0.00,18.15,0.00
262,".V So",https://silkokerai.lt,EUR,"Clothing and shoes",,"very high",324.00,8.47,0.00
269,risti,https://xlash.lt,EUR,"Beauty and fragrances",,"very high",59.90,0.50,0.00
270,"ARL V",https://evozen.fr,EUR,"Online courses and tutoring",,"very high",20380.51,746.33,0.00
294,"AB Pr",https://inglotkosmetika.lt,EUR,"Beauty and fragrances",,"very high",294.78,6.28,0.00
304,ondin,https://mondinion.com,EUR,"Booking and reservations, Marketing and advertising",,"very high",0.00,1.24,100.00
305,"AB ""K",https://lietuviskaatributika.lt,EUR,Accessories,,"very high",82.35,5.83,0.00
310,"AB B ","https://moerie.com, https://moerie.lt",EUR,"Beauty and fragrances",,"very high",309.00,0.50,0.00
319,louni,https://vohippo.com,EUR,"Mobile pre-paid card credits",,"very high",4538.94,197.60,0.00
322,"AB FA",https://auksomeistrai.lt,EUR,Accessories,,"very high",565.50,75.12,0.00
324,"AB ""S",https://cattool.eu,EUR,SaaS,,"very high",921.58,22.90,0.00
325,riori,https://priorityprospect.com,USD,"Software development",,"very high",8494.30,468.48,0.00
326,"VOS T","https://reparexshop.co.uk, https://reparexshop.com",GBP,"Beauty and fragrances",,"very high",1375.42,15.00,0.00
327,udget,https://budgettyres.ie,EUR,"Car parts/ accessories",,"very high",376.00,0.50,0.00
334,"TQ GR",https://orhidejashop.com,EUR,"Clothing and shoes",,"very high",582.06,142.48,0.00
348,"AB To",https://tommy-sons.com,EUR,"Car parts/ accessories",,"very high",1352.10,0.50,0.00
352,"AB ""P",https://freshup.lt,EUR,"Food and drinks",,"very high",42.48,24.23,0.00
361,oluco,https://sessointimo.it,EUR,"Adult products",,"very high",72.40,1.96,0.00
395,valda,https://lasercutjewelry.net,USD,Accessories,,"very high",226.00,17.29,0.00
403,"AB GR","https://garderoba-green-rose.pl, https://green-rose.eu, https://green-rose.fr, https://green-rose.lt, https://green-rose.uk.com",USD,"Clothing and shoes",,"very high",46.57,43.40,0.00
403,"AB GR","https://garderoba-green-rose.pl, https://green-rose.eu, https://green-rose.fr, https://green-rose.lt, https://green-rose.uk.com",GBP,"Clothing and shoes",,"very high",422.00,18.16,0.00
403,"AB GR","https://garderoba-green-rose.pl, https://green-rose.eu, https://green-rose.fr, https://green-rose.lt, https://green-rose.uk.com",EUR,"Clothing and shoes",,"very high",2895.87,121.18,0.00
412,NTELL,"https://everdo.net, https://unserver.xyz",EUR,SaaS,,"very high",1147.86,52.25,0.00
424,aroli,"https://bosolighters.com, https://jacobcolinn.lt",EUR,Accessories,,"very high",8445.11,405.75,0.00
432,aniel,"https://87.network, https://dubaiescorts.club",EUR,"Escort Advertising",,Low,260.00,2.75,0.00
435,MEDIA,"http://hotmasseur.com, https://hotmasseur.com, https://hotmasseuse.com, https://hushmassage.com",USD,"Adult entertainment, Marketing and advertising",,Medium,2469.00,94.45,0.00
440,"AB Li",https://lovelin.lt,EUR,Homeware,,Low,3278.49,0.00,0.00
453,rbori,https://nuovaerboristeria.it,EUR,"Vitamins and food supplements",,Low,4397.62,182.20,0.00
458,arkIT,"https://ausflügelanzarote.com, https://ausflügelanzarote.de, https://excursioneslanzarote.es, https://excursionsfuerte.com, https://excursionsgrancan.com, https://excursionslanzarote.com, https://phonezapp.com, https://travelon.world, https://travelonshop.com",EUR,"Booking and reservations, Electronics, Gadgets","4722, 5399",Low,29708.00,269.67,0.00
460,"NBS O","https://shmassy.com, https://simplynotebooks.eu",EUR,Stationery,,Low,141.30,1.50,0.00
479,"avid ",https://escortsabc.com,EUR,"Escort Advertising",,Low,301.00,37.65,0.00
486,"AB ""S","https://skinlovers.lt, https://stiliusbox.lt",EUR,"Beauty and fragrances, Goods subscriptions",,Low,8231.18,333.92,0.00
488,"tar I",https://ninjabet.it,EUR,Games,,Medium,38108.13,1802.19,0.00
509,"MO TE",https://smooci.com,USD,"Escort Advertising",,Medium,39192.86,647.20,0.00
509,"MO TE",https://smooci.com,GBP,"Escort Advertising",,Medium,262.42,57.51,0.00
509,"MO TE",https://smooci.com,EUR,"Escort Advertising",,Medium,90.79,0.95,0.00
513,"AB St",https://stiklejewelry.com,EUR,Accessories,,Low,56.85,8.88,0.00
514,odevl,"https://any.cab, https://cabsdirect.eu",EUR,"Taxi and transportation services",,Low,584.20,2.83,0.00
528,ONTAC,"https://contactum.eu, https://wellis-spas.si",EUR,"Home appliances",,Low,0.00,9.31,0.00
530,elati,"https://procureskills.com, https://relationable.com, https://safetyrelations.com, https://studyemotions.com",USD,"Online courses and tutoring",,Medium,734.00,60.44,0.00
558,umita,https://sumita.com,EUR,"Beauty and fragrances",,Low,111.00,3.74,0.00
562,manue,https://ca-serv.com,USD,"Adult entertainment",,Low,264.55,0.00,0.00
564,uvial,https://nuvialab.com,GBP,"Vitamins and food supplements",,Low,3316.77,576.11,0.00
564,uvial,https://nuvialab.com,EUR,"Vitamins and food supplements",,Low,64489.34,6015.82,0.29
566,"ldas ",https://chinapart.eu,EUR,"Car parts/ accessories",,Low,983.00,22.42,0.00
570,"AB ""G",https://amberworldlt.com,EUR,Accessories,,Low,194.10,17.28,0.00
579,"šĮ Ba",https://balarama.lt,EUR,"Charities/nonprofit organizations",,Low,50.00,0.00,0.00
581,ixwor,https://bulletvpn.com,USD,SaaS,,High,2834.83,555.69,0.00
584,utris,"https://babesvitamins.es, https://babesvitamins.hr, https://babesvitamins.it, https://babesvitamins.sk, https://colageno-pele.pt, https://collagene-skin.it, https://curcuma.naturesfinest.it, https://depurarefegato.it, https://figado-saudavel.pt, https://figadosaudavel.naturesfinest.pt, https://hair-vitamins.uk, https://hairvitamins.cz, https://hairvitamins.it, https://higado-saludable.es, https://higadosaludable.naturesfinest.es, https://kurkuma.naturesfinest.si, https://liver-detox.uk, https://liverdetox.cz, https://liverdetox.de, https://nailvitamins.naturesfinest.si, https://naturesfinest.hr, https://naturesfinest.it, https://naturesfinest.si, https://skinlift.cz, https://tea-tox.it, https://teatox.si, https://tiroidesana.it, https://zdrava-jetra.si",EUR,"Beauty and fragrances, Food and drinks, Vitamins and food supplements",,Low,3655.16,359.59,0.00
589,"etan ",https://cellulitix.com,USD,"Beauty and fragrances",,Low,122.41,15.00,0.00
597,"AB ""G",https://saulesgele.lt,EUR,"Flowers and gifts",,Low,594.00,38.11,0.00
599,lobal,https://herbadetox.com,EUR,"Food and drinks",,Low,189.26,2.99,0.00
